property_address,categories
"abadi village bulara, hudbast no 489, tehsil & dist ludhiana.",others
gd-17 gd-17 shantineer mouza-bhagabanpur bhagabanpur gp kolkata,others
"industrial building situated at plot no-563/608, g.i.d.c sihor-975, ghanghali-sihor road, vil- ghanghali, tal-sihor, dis-bhavnagar (guj)",commercial unit
"plot 17-c,house 17-c,khassra156,157,colony bhupinder nagarvillage nagra,districtjalandhar jalandhar 144006 punjab",houseorplot
"sw4a and sw4b, gf, shubham, na, commercial merged showroom no. sw4a and sw4b located on north side of ground floor, building name shubham, premises no. 1, rowdon street now known as sarojini naidu sarani, p.s. park street, p.o. circus avenue, ward no. 63 under kolkata municipal corporation, kolkata 700017., premises no. 1, idfc first bank, park street branch, sarojini naidu sarani, calcutta, park street, kolkata, west bengal, 700017",commercial unit
"flat-b-1102,floor-11 one 35 block b plot fp. 135+136,s no 866,867tp.405, b/s ashray atulyam,opp. dps nilkanth road, shilaj ahmedabad 380058 gujarat",flat
f no 203 (f no 6 ) p no 0 ratan hira co op hsg society 2 ratan hira co op hsg opp vani merchant bank post galli nashik,flat
"khasra no. 5575/7, ward no. patia, adjacent to government primary school, hazaribagh, jharkhand - 462192",landparcel
"flat-471,floor-first r v gajendra nandini apartments mcpl no 712-44-779 to 392 & 629/1ts no 718, block hward no 72gandhi nagar, bakaramhyderabad hyderabad-ap 500048 telangana",flat
"flat-802,floor-8 kavya shree laxmi plot 223,,sector 3,,rdp vcharkop,nr apna bazarkandivali [w],mumbai mumbai 400067 maharashtra",flat
"flat-905,floor-ground sahara residency s no 256/334,near balaji chowk,chinch pada village kalyaneast kalyan-dombivali 421306 maharashtra",flat
"plot-04 uttam thakre s no kh.no 117/1/a,,ph. no. 46mouza -wanadongri teh. hingna,wanadongri sangam road nagpur 441110 maharashtra",houseorplot
"commercial school and land situated at village-suthaliya, p.h.no. 557, r.n.m.-suthaliya, ward no. 204, madusudangarh road, tehsil-biaora, dist-rajgarh, m.p-465677 agrawal academy near indane gas agency",commercial unit
1101 11 th wing a gagan ela nibm po s no 23/7/1/2/3 plot no 1 to 16 nibm road nibm po pune pune maharashtra 411048,flat
"plot no. 9 part ( south east part), in sy. nos. 86 to 89 presently under pedda amberpet nagar panchayat, rr dist. pin code 501505 kuntloor village, eastwhile hayathnagar rev. mandal, presently under abdullapurmet rev.mandal road no. 2, hanuman nagar, kuntloor",houseorplot
plot no.6 kacha gadri wala road zira 1,houseorplot
"s.f. no. 7923/4, mouza bettahalasuru, near railway station, hazaribagh, jharkhand - 189794",landparcel
"flat-890,floor-ninth zara aavaas: 265 s no rect no. 395/735,46/160, 731/221, 60/378 &940/359,sector 773,villagegurgaon gurgaon 122006 haryana",flat
plot no a-095 sec-69 noida block a na,houseorplot
"house ananta residency,plot 39& 40,s no 10/a/1/39,row houseukai road,gat songadh?,oppessar petrol pump tapi 394680 gujarat",houseorplot
"plot-74,75 mahalaxmi nagar 41 sector-1 kh.27, mouza shivmadka,hingnaph no. 48-a,nagpur nagpur 441108 maharashtra",houseorplot
shop no 383 hissa no 2a 2b hissa no 990 ground floor swargate pune s s road pune 218 ground floor s s road pune,commercial unit
"unit-184 sparsh villa s no 330,601,near gokuleshresidency, padra main road,sangma, vadodara vadodara 391440 gujarat",others
